iter	Passed	Remaining
0	1	100
1	1	88
2	2	81
3	3	80
4	4	80
5	5	80
6	5	78
7	6	75
8	7	73
9	8	72
10	8	71
11	9	69
12	10	67
13	10	67
14	11	65
15	12	64
16	12	62
17	13	61
18	14	60
19	14	59
20	15	57
21	16	56
22	16	56
23	17	55
24	18	54
25	19	54
26	19	53
27	20	52
28	21	51
29	21	50
30	22	49
31	23	49
32	24	48
33	24	48
34	25	47
35	26	47
36	27	47
37	28	46
38	29	45
39	30	45
40	30	44
41	30	42
42	31	41
43	32	41
44	32	40
45	33	39
46	34	38
47	34	37
48	35	37
49	36	36
50	37	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	40	30
57	41	29
58	41	29
59	42	28
60	43	27
61	44	27
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	48	21
69	49	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	53	17
76	54	16
77	55	15
78	55	14
79	56	14
80	57	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	62	7
89	63	7
90	63	6
91	64	5
92	65	4
93	66	4
94	66	3
95	67	2
96	67	2
97	68	1
98	69	0
99	69	0
