iter	Passed	Remaining
0	136	136347
1	137	68661
2	138	45976
3	139	34629
4	139	27836
5	140	23277
6	141	20018
7	141	17565
8	142	15659
9	142	14132
10	143	12882
11	144	11865
12	145	11012
13	145	10271
14	146	9624
15	147	9066
16	148	8582
17	149	8139
18	149	7740
19	151	7408
20	152	7086
21	152	6786
22	153	6509
23	153	6254
24	154	6018
25	154	5800
26	155	5598
27	155	5411
28	156	5239
29	157	5082
30	158	4940
31	158	4805
32	159	4680
33	160	4562
34	161	4448
35	162	4342
36	162	4236
37	163	4135
38	163	4038
39	164	3946
40	164	3858
41	165	3774
42	166	3695
43	166	3619
44	167	3546
45	167	3476
46	168	3409
47	168	3345
48	169	3284
49	169	3227
50	170	3173
51	171	3125
52	172	3078
53	172	3030
54	173	2985
55	174	2939
56	174	2894
57	175	2850
58	176	2810
59	176	2772
60	177	2733
61	178	2694
62	178	2656
63	179	2620
64	179	2585
65	180	2550
66	180	2518
67	181	2485
68	181	2454
69	182	2423
70	182	2393
71	183	2364
72	183	2336
73	184	2310
74	185	2289
75	186	2269
76	187	2245
77	188	2223
78	188	2200
79	189	2177
80	189	2153
81	190	2131
82	190	2106
83	191	2084
84	191	2063
85	192	2043
86	192	2023
87	193	2003
88	193	1984
89	194	1965
90	194	1946
91	195	1928
92	195	1911
93	196	1893
94	197	1877
95	197	1861
96	198	1845
97	198	1829
98	199	1815
99	200	1803
100	201	1791
101	201	1777
102	202	1764
103	203	1750
104	203	1736
105	204	1723
106	204	1709
107	205	1696
108	205	1682
109	206	1670
110	206	1657
111	207	1645
112	208	1632
113	208	1620
114	209	1608
115	209	1597
116	210	1585
117	210	1573
118	211	1562
119	211	1551
120	212	1540
121	212	1529
122	213	1519
123	213	1509
124	214	1501
125	215	1495
126	216	1486
127	216	1477
128	217	1468
129	218	1460
130	218	1450
131	219	1441
132	219	1432
133	220	1423
134	220	1414
135	221	1406
136	221	1397
137	222	1389
138	222	1380
139	223	1372
140	224	1364
141	224	1356
142	224	1348
143	225	1340
144	226	1333
145	226	1325
146	227	1318
147	227	1311
148	228	1303
149	229	1299
150	230	1295
151	231	1289
152	231	1282
153	232	1276
154	232	1269
155	233	1263
156	234	1256
157	234	1249
158	235	1243
159	235	1236
160	235	1229
161	236	1223
162	237	1217
163	237	1210
164	238	1204
165	238	1199
166	239	1193
167	239	1187
168	240	1181
169	240	1175
170	241	1170
171	241	1164
172	242	1159
173	243	1155
174	244	1153
175	245	1148
176	245	1143
177	246	1138
178	247	1133
179	247	1127
180	248	1122
181	248	1117
182	249	1112
183	249	1107
184	250	1102
185	250	1097
186	251	1092
187	251	1087
188	252	1082
189	252	1078
190	253	1073
191	254	1069
192	254	1064
193	255	1059
194	255	1055
195	256	1050
196	256	1046
197	257	1043
198	259	1042
199	259	1039
200	261	1037
201	261	1033
202	262	1030
203	263	1027
204	264	1023
205	264	1019
206	265	1015
207	265	1011
208	266	1007
209	266	1003
210	267	999
211	267	995
212	268	991
213	268	987
214	269	983
215	270	980
216	270	976
217	271	973
218	272	970
219	273	968
220	273	965
221	274	962
222	275	958
223	275	955
224	276	951
225	276	947
226	277	944
227	277	940
228	278	937
229	278	933
230	279	930
231	280	927
232	281	925
233	281	921
234	282	918
235	282	915
236	283	911
237	283	908
238	284	905
239	284	902
240	285	899
241	286	898
242	287	895
243	288	893
244	289	890
245	289	888
246	290	884
247	290	881
248	291	878
249	291	875
250	292	872
251	293	870
252	293	867
253	294	865
254	295	862
255	295	859
256	296	856
257	296	853
258	297	850
259	298	848
260	298	845
261	299	842
262	299	840
263	301	840
264	302	837
265	302	835
266	303	833
267	304	830
268	304	828
269	305	825
270	305	822
271	306	819
272	307	817
273	307	815
274	308	813
275	308	810
276	309	807
277	310	805
278	310	802
279	311	800
280	311	797
281	312	795
282	312	792
283	313	789
284	314	788
285	315	786
286	315	784
287	316	782
288	317	780
289	318	778
290	318	776
291	319	773
292	319	771
293	320	769
294	321	767
295	321	765
296	322	762
297	322	760
298	323	758
299	323	755
300	324	753
301	325	751
302	325	749
303	326	747
304	326	744
305	327	742
306	328	740
307	329	739
308	329	737
309	330	735
310	331	733
311	332	732
312	332	730
313	333	727
314	333	725
315	334	723
316	335	721
317	335	719
318	336	718
319	336	716
320	337	713
321	338	711
322	338	709
323	339	708
324	340	706
325	340	704
326	341	702
327	341	700
328	342	698
329	343	697
330	344	695
331	344	694
332	345	692
333	346	691
334	347	689
335	347	687
336	348	685
337	348	683
338	349	681
339	349	679
340	350	677
341	350	675
342	351	673
343	352	671
344	352	669
345	353	667
346	353	665
347	354	663
348	354	661
349	355	659
350	355	657
351	356	655
352	357	654
353	358	653
354	358	651
355	359	650
356	359	648
357	360	646
358	361	644
359	361	643
360	362	641
361	362	639
362	363	637
363	363	635
364	364	633
365	364	632
366	365	630
367	366	628
368	366	627
369	367	625
370	367	623
371	368	621
372	368	620
373	369	618
374	369	616
375	370	614
376	371	613
377	371	611
378	372	610
379	373	609
380	374	608
381	374	606
382	375	605
383	376	603
384	376	601
385	377	599
386	377	598
387	378	596
388	378	595
389	379	593
390	380	592
391	381	591
392	382	590
393	382	588
394	383	587
395	383	585
396	384	583
397	384	582
398	385	580
399	386	579
400	387	578
401	388	577
402	388	576
403	389	574
404	389	572
405	390	571
406	391	569
407	391	568
408	392	566
409	392	565
410	393	563
411	393	561
412	394	560
413	394	558
414	395	557
415	395	555
416	396	554
417	396	552
418	397	551
419	397	549
420	398	548
421	399	546
422	399	545
423	400	543
424	401	542
425	402	542
426	403	540
427	403	539
428	404	538
429	404	536
430	405	535
431	406	533
432	406	532
433	407	531
434	407	529
435	408	528
436	408	526
437	409	525
438	409	523
439	410	522
440	410	520
441	411	519
442	412	518
443	412	516
444	413	515
445	413	513
446	414	512
447	414	511
448	415	510
449	416	509
450	417	508
451	418	507
452	419	506
453	419	504
454	420	503
455	420	502
456	421	500
457	422	499
458	422	498
459	423	496
460	423	495
461	424	493
462	424	492
463	425	491
464	426	490
465	426	489
466	427	487
467	428	486
468	428	485
469	429	484
470	430	483
471	431	482
472	432	482
473	433	481
474	434	480
475	434	478
476	435	477
477	435	476
478	436	474
479	436	473
480	437	472
481	438	470
482	438	469
483	439	468
484	440	467
485	440	466
486	441	464
487	441	463
488	442	462
489	442	460
490	443	459
491	444	458
492	445	458
493	446	457
494	447	456
495	447	455
496	448	453
497	448	452
498	449	451
499	450	450
500	450	448
501	451	447
502	451	446
503	452	445
504	453	444
505	453	443
506	454	441
507	454	440
508	455	439
509	455	438
510	456	436
511	457	435
512	457	434
513	458	433
514	459	432
515	460	431
516	461	430
517	462	430
518	462	428
519	463	427
520	463	426
521	464	425
522	465	424
523	465	422
524	466	421
525	466	420
526	467	419
527	468	418
528	468	417
529	469	416
530	469	414
531	470	413
532	470	412
533	471	411
534	471	410
535	472	408
536	473	408
537	474	407
538	475	406
539	476	406
540	477	404
541	477	403
542	478	402
543	479	401
544	479	400
